delta_t,brightness,bright_t31,frp,scan,track,mes,hora,es_noche,latitude,longitude,es_falsa_alarma
32.72999999999996,331.4,298.67,3.33,0.52,0.5,6,11,0,-6.26035,32.36898,0
34.170000000000016,341.45,307.28,4.14,0.49,0.4,6,11,0,-9.33543,22.59951,0
33.870000000000005,322.38,288.51,2.35,0.55,0.51,6,20,1,63.46958,76.77287,0
37.18000000000001,338.76,301.58,3.91,0.6,0.53,6,10,0,-18.64142,45.54427,0
43.75999999999999,325.98,282.22,2.13,0.4,0.45,6,16,1,-18.47491,130.86008,0
39.92999999999995,338.09,298.16,14.2,0.54,0.51,6,11,0,-6.86228,18.44579,0
60.379999999999995,367.0,306.62,21.53,0.32,0.54,6,11,0,-7.68882,23.95939,0
37.73000000000002,367.0,329.27,11.74,0.47,0.48,6,9,0,30.88204,47.32437,1
51.00999999999999,352.21,301.2,9.14,0.36,0.57,6,12,0,-10.33796,22.68537,0
30.680000000000007,334.41,303.73,4.39,0.39,0.36,6,11,0,-5.54798,26.3077,0
41.410000000000025,346.48,305.07,27.01,0.57,0.43,6,11,0,42.37059,19.16476,0
53.61999999999995,350.28,296.66,7.52,0.41,0.45,6,11,0,-6.88867,20.26565,0
37.69,332.25,294.56,1.34,0.54,0.42,6,8,0,29.89262,72.64327,0
25.909999999999968,330.4,304.49,1.79,0.51,0.41,6,10,0,-18.50054,45.16244,1
49.47000000000003,351.06,301.59,10.82,0.48,0.48,6,11,0,-12.24275,26.69834,0
38.95999999999998,336.38,297.42,4.72,0.42,0.45,6,11,0,-10.88714,27.34381,0
32.920000000000016,331.85,298.93,9.85,0.54,0.68,6,12,0,-10.89718,25.48276,0
25.099999999999966,333.46,308.36,1.0,0.39,0.36,6,11,0,-10.6048,26.09342,0
28.44999999999999,331.33,302.88,4.22,0.4,0.44,6,11,0,-15.8919,22.34831,1
22.200000000000045,311.85,289.65,2.0,0.54,0.51,6,17,1,-15.79028,125.4326,0
29.05000000000001,341.61,312.56,65.19,0.43,0.38,6,12,0,-9.37754,15.95251,0
31.20999999999998,316.68,285.47,2.2,0.49,0.41,6,5,1,-16.24963,-60.54874,0
52.879999999999995,353.92,301.04,22.02,0.35,0.57,6,12,0,-10.04221,22.47028,0
27.79000000000002,330.74,302.95,2.18,0.39,0.36,6,11,0,-9.31721,26.93173,1
6.7099999999999795,367.0,360.29,186.87,0.48,0.4,6,12,0,-8.37676,16.64651,1
27.829999999999984,334.18,306.35,9.84,0.52,0.42,6,11,0,-11.73307,22.49862,1
35.75999999999999,341.64,305.88,4.31,0.43,0.46,6,16,0,-19.43647,-41.49833,0
27.79000000000002,333.57,305.78,5.21,0.38,0.36,6,11,0,-12.23675,26.69358,1
36.339999999999975,337.21,300.87,4.41,0.43,0.38,6,11,0,-5.58083,27.72376,0
18.319999999999993,311.19,292.87,1.91,0.55,0.51,6,22,1,35.82321,45.47931,0
45.40999999999997,350.7,305.29,4.55,0.42,0.38,6,4,0,-12.55746,130.73471,0
30.149999999999977,334.81,304.66,3.93,0.42,0.38,6,11,0,-7.02634,27.77077,0
10.810000000000002,309.43,298.62,1.94,0.43,0.38,6,0,1,37.21076,15.16972,0
27.590000000000032,336.3,308.71,6.99,0.53,0.42,6,11,0,-8.01651,21.61156,0
33.85999999999996,336.96,303.1,6.67,0.49,0.65,6,12,0,-11.4861,25.07514,0
32.68000000000001,332.48,299.8,3.42,0.53,0.67,6,12,0,-7.44299,24.39477,0
42.68000000000001,346.29,303.61,63.01,0.36,0.57,6,10,0,38.93477,27.94175,0
24.810000000000002,313.37,288.56,3.89,0.73,0.76,6,0,1,-7.89919,27.26489,0
31.629999999999995,332.26,300.63,2.83,0.43,0.38,6,11,0,-8.13306,28.28127,0
48.50999999999999,348.74,300.23,16.55,0.61,0.53,6,10,0,-10.643,31.14658,0
50.48000000000002,350.67,300.19,8.62,0.41,0.37,6,11,0,-4.32917,26.89685,0
30.180000000000007,330.82,300.64,1.76,0.4,0.37,6,11,0,-8.12106,33.89979,0
27.319999999999993,367.0,339.68,41.21,0.39,0.36,6,9,0,30.86395,47.9222,1
36.20999999999998,333.78,297.57,51.62,0.46,0.39,6,20,0,55.28743,-107.52545,0
29.079999999999984,336.07,306.99,4.55,0.51,0.41,6,12,0,-9.44225,17.42331,1
33.829999999999984,327.13,293.3,8.2,0.38,0.59,6,22,1,38.04725,67.26836,0
21.80000000000001,323.8,302.0,12.76,0.48,0.65,6,23,1,32.48714,47.21224,0
40.26999999999998,334.87,294.6,20.42,0.55,0.51,6,4,0,-12.83426,133.69847,0
31.899999999999977,331.33,299.43,5.77,0.77,0.77,6,12,0,-8.71938,27.10342,0
37.79000000000002,343.07,305.28,2.95,0.39,0.36,6,4,0,-18.63045,131.0137,0
40.620000000000005,345.46,304.84,5.93,0.38,0.36,6,11,0,-9.1144,26.19449,0
37.79000000000002,329.18,291.39,3.31,0.42,0.61,6,10,0,-28.64936,32.23763,0
47.660000000000025,344.55,296.89,8.11,0.54,0.68,6,12,0,-11.08306,25.53601,0
32.06,314.11,282.05,1.73,0.39,0.36,6,10,1,60.21082,-121.94469,0
12.490000000000009,301.1,288.61,0.93,0.44,0.38,6,16,1,-15.21944,134.47809,0
70.41000000000003,367.0,296.59,11.02,0.36,0.58,6,12,0,-6.38155,21.76802,0
35.860000000000014,328.17,292.31,24.91,0.62,0.72,6,12,0,-14.28891,27.41119,0
48.379999999999995,335.33,286.95,6.01,0.34,0.56,6,4,0,-16.75591,144.93208,0
60.72000000000003,367.0,306.28,11.22,0.47,0.64,6,12,0,-11.05871,24.66602,0
18.839999999999975,302.46,283.62,1.54,0.66,0.73,6,0,1,-9.80413,26.22968,0
40.04000000000002,335.43,295.39,3.48,0.46,0.47,6,11,0,-27.6431,30.18081,0
